"Model","Hull type","Category","Sailboat builder","Sailboat designer","Country","Construction","First built hull","Last built hull","Appendages","Helm","Rudder","Unsinkable","Trailerable","EC design category","Standard public price ex. VAT (indicative only)","Hull length","Beam (width)","Draft","Light displacement (MLC)","Upwind sail area","Downwind sail area","Mainsail area","Genoa area","Asymmetric spinnaker area","Rigging type","Mast configuration","Rotating spars","Number of levels of spreaders","Spreaders angle","Spars construction","Upwind sail area to displacement","Downwind sail area to displacement","Engine(s)","Engine(s) power","Fuel type","Cockpit","Cabin(s) (min./max.)","Berth(s) (min./max.)","Head(s)","Version","Waterline length","Ballast weight","Ballast type","Symmetric spinnaker area","I","J","P","E","HN (French rating)","Displacement-length ratio (DLR)","Ballast ratio","Critical hull speed","Fuel tank capacity","Berth(s)","Freshwater tank capacity","Maximum headroom","Draft when appendages up","Overall length","Cabin(s)","Fridge/ice-box capacity","Head headroom","Berth length","Berth width","Mast height from DWL","Standing rigging","Engine(s) power (min./max.)","Galley headroom","Saloon table length","Saloon table width (min./max.)","Chart table","Berth width (head/elbows/knees/feet)","French customs tonnage","Holding tank capacity","Sailboat collection","Number of hulls built","Jib area","Solent area","IOR rating","Waterline beam (width)","Staysail area","Righting moment @ 1°","Righting moment @ 30°","Award(s)","Head(s) (min./max.)","Boiler capacity","Former French navigation category","Saloon table width","Maximum displacement (MLDC)","Capacity","Mizzen sail area","Gennaker area","Code 0 area","Code 5 area","Fore freeboard","Mid-ship freeboard","Wetted area","Maximum transverse section","Stormjib area","Saloon width (min./max.)","Berth width (head/feet)","Folding type","Overall width folded","Overall length folded","Sailboat range","Running backstays","Yankee area","Crew","D-PN rating","Maximum righting moment","PY (Portsmouth Yardstick) rating","Water ballast","Water ballast capacity","Trapezes","Saloon width","Mizzen staysail area","Prismatic coefficient","source"
"Bavaria Cruiser 36","Monohull","Cruising sailboat","Bavaria Yachts","Farr Yacht Design","Germany","Hull and deck: GRP (glass reinforced polyester)","2010","Discontinued","Keel : L-shaped keel (with bulb)","Single helm wheel","Single spade rudder","No","No","A","N/A €","35’ 10”10.9 m","12’3.67 m","5’ 4”1.63 m","15432 lb7000 kg","732 ft²68 m²","1324 ft²123 m²","441 ft²41 m²","","","Sloop Marconi 9/10","Deck stepped mast","No","2","Swept-back","Aluminum spars","200 ft²/T18.58 m²/T","362 ft²/T33.61 m²/T","1 inboard engine","18 HP","Diesel","Closing aft cockpit with opening system","2  / 3","4  / 8","1","Shoal draft","32’ 6”9.9 m","4586 lb2080 kg","","","46’ 4”14.1 m","12’ 2”3.73 m","44’ 8”13.62 m","16’ 8”5.1 m","","204","30 %","7.64 knots","39.6 gal150 liters","","55.5 gal210 liters","6’ 2”1.9 m","","37’ 1”11.3 m","","","","","","50’ 2”15.3 m","","","","","","","","13.18 Tx","","","","","291 ft²27 m²","","","","","","","","","","","","","","883 ft²82 m²","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.boat-specs.com/"
"Bavaria Cruiser 37","Monohull","Cruising sailboat","Bavaria Yachts","Farr Yacht Design","Germany","Hull and deck: GRP (glass reinforced polyester)","2014","Still in production","Keel : L-shaped keel (with bulb)","Twin helm wheels","Single spade rudder","No","No","A","About 111 000 € (2020)","35’ 10”10.9 m","12’3.67 m","6’ 5”1.95 m","15432 lb7000 kg","743 ft²69 m²","","441 ft²41 m²","","","Sloop Marconi 9/10","Deck stepped mast","No","2","Swept-back","Aluminum spars","203 ft²/T18.86 m²/T","","1 inboard engine","28 HP","Diesel","Closing aft cockpit with opening system","2  / 3","4  / 8","1","Standard","33’ 6”10.22 m","4586 lb2080 kg","Cast iron","","43’ 1”13.15 m","12’ 1”3.7 m","44’ 7”13.6 m","16’ 8”5.1 m","","186","30 %","7.76 knots","39.6 gal150 liters","","55.5 gal210 liters","6’ 5”1.95 m","","37’ 1”11.3 m","","","","","","55’ 2”16.82 m","1x19 strand wire","","","","","","","","","","","","301 ft²28 m²","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.boat-specs.com/"
"Bavaria Cruiser 37","Monohull","Cruising sailboat","Bavaria Yachts","Farr Yacht Design","Germany","Hull and deck: GRP (glass reinforced polyester)","2014","Still in production","Keel : L-shaped keel (with bulb)","Twin helm wheels","Single spade rudder","No","No","A","About 111 000 € (2020)","35’ 10”10.9 m","12’3.67 m","5’ 4”1.63 m","15432 lb7000 kg","743 ft²69 m²","","441 ft²41 m²","","","Sloop Marconi 9/10","Deck stepped mast","No","2","Swept-back","Aluminum spars","203 ft²/T18.86 m²/T","","1 inboard engine","28 HP","Diesel","Closing aft cockpit with opening system","2  / 3","4  / 8","1","Shoal draft","33’ 6”10.22 m","4586 lb2080 kg","Cast iron","","43’ 1”13.15 m","12’ 1”3.7 m","44’ 7”13.6 m","16’ 8”5.1 m","","186","30 %","7.76 knots","39.6 gal150 liters","","55.5 gal210 liters","6’ 5”1.95 m","","37’ 1”11.3 m","","","","","","55’ 2”16.82 m","1x19 strand wire","","","","","","","","","","","","301 ft²28 m²","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.boat-specs.com/"
"Bavaria Cruiser 41","Monohull","Cruising sailboat","Bavaria Yachts","Farr Yacht Design","Germany","Hull and deck: GRP (glass reinforced polyester)","2011","Still in production","Keel : L-shaped keel (with bulb)","Twin helm wheels","Single spade rudder","No","No","","About 148 000 € (2020)","39’ 4”11.99 m","13’3.96 m","6’ 8”2.05 m","19136 lb8680 kg","883 ft²82 m²","","517 ft²48 m²","366 ft²34 m²","","Sloop Marconi 9/10","Deck stepped mast","No","2","Swept-back","Aluminum spars","209 ft²/T19.41 m²/T","","1 inboard engine","28 HP","Diesel","Closing aft cockpit with opening system","2  / 3","4  / 8","","Standard","35’ 1”10.69 m","6032 lb2736 kg","Cast iron","","51’ 10”15.8 m","13’ 10”4.2 m","50’ 6”15.4 m","17’ 5”5.3 m","","201","32 %","7.94 knots","55.5 gal210 liters","","55.5 gal210 liters","6’ 5”1.94 m","","40’ 6”12.35 m","","","","","","61’ 4”18.68 m","1x19 strand wire","","","","","","","","","","","","","","","","","","","1  / 2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.boat-specs.com/"
"Bavaria Cruiser 41","Monohull","Cruising sailboat","Bavaria Yachts","Farr Yacht Design","Germany","Hull and deck: GRP (glass reinforced polyester)","2011","Still in production","Keel : L-shaped keel (with bulb)","Twin helm wheels","Single spade rudder","No","No","","About 148 000 € (2020)","39’ 4”11.99 m","13’3.96 m","5’ 5”1.65 m","19136 lb8680 kg","883 ft²82 m²","","517 ft²48 m²","366 ft²34 m²","","Sloop Marconi 9/10","Deck stepped mast","No","2","Swept-back","Aluminum spars","209 ft²/T19.41 m²/T","","1 inboard engine","28 HP","Diesel","Closing aft cockpit with opening system","2  / 3","4  / 8","","Shoal draft","35’ 1”10.69 m","6032 lb2736 kg","Cast iron","","51’ 10”15.8 m","13’ 10”4.2 m","50’ 6”15.4 m","17’ 5”5.3 m","","201","32 %","7.94 knots","55.5 gal210 liters","","55.5 gal210 liters","6’ 5”1.94 m","","40’ 6”12.35 m","","","","","","61’ 4”18.68 m","1x19 strand wire","","","","","","","","","","","","","","","","","","","1  / 2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.boat-specs.com/"
"Bavaria Cruiser 41 S","Monohull","Cruiser-racer sailboat","Bavaria Yachts","Farr Yacht Design","Germany","Hull and deck: GRP (glass reinforced polyester)","2011","Still in production","Keel : fin without bulb","Twin helm wheels","Single spade rudder","No","No","A","About 160 000 € (2017)","39’ 4”11.99 m","13’3.96 m","7’ 8”2.35 m","17891 lb8115 kg","980 ft²91 m²","","","","","Sloop Marconi 9/10","Deck stepped mast","No","2","Swept-back","Aluminum spars","243 ft²/T22.53 m²/T","","1 inboard engine","28 HP","Diesel","Open aft cockpit","2  / 3","4  / 8","","","35’ 1”10.69 m","5578 lb2530 kg","Cast iron","","","","","","","188","31 %","7.94 knots","55.5 gal210 liters","","55.5 gal210 liters","6’ 5”1.94 m","","40’ 6”12.35 m","","","","","","","1x19 strand wire","","","","","","","","","","","","","","","","","","","1  / 2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.boat-specs.com/"
"Bavaria Cruiser 45","Monohull","Offshore cruising sailboat","Bavaria Yachts","Farr Yacht Design","Germany","Hull and deck: GRP (glass reinforced polyester)","2010","Discontinued","Keel : L-shaped keel (with bulb)","Twin helm wheels","Twin spade rudders","No","No","A","N/A €","44’ 7”13.6 m","14’ 4”4.35 m","6’ 11”2.1 m","27778 lb12600 kg","1152 ft²107 m²","2217 ft²206 m²","603 ft²56 m²","","","Sloop Marconi 9/10","Deck stepped mast","No","2","Swept-back","Aluminum spars","213 ft²/T19.76 m²/T","409 ft²/T38.04 m²/T","1 inboard engine","53 HP","Diesel","Closing aft cockpit with opening system","3  / 4","6  / 10","3","Standard","40’ 10”12.45 m","6834 lb3100 kg","","","58’ 10”17.91 m","18’ 1”5.53 m","56’ 5”17.19 m","18’ 2”5.55 m","","185","25 %","8.56 knots","55.5 gal210 liters","","95.1 gal360 liters","","","46’ 10”14.27 m","","","","","","68’ 1”20.75 m","","","","","","","","","","","","","549 ft²51 m²","","","","","","","","","","","","","","1615 ft²150 m²","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.boat-specs.com/"
"Bavaria Cruiser 45","Monohull","Offshore cruising sailboat","Bavaria Yachts","Farr Yacht Design","Germany","Hull and deck: GRP (glass reinforced polyester)","2010","Discontinued","Keel : L-shaped keel (with bulb)","Twin helm wheels","Twin spade rudders","No","No","A","N/A €","44’ 7”13.6 m","14’ 4”4.35 m","5’ 8”1.73 m","27778 lb12600 kg","1152 ft²107 m²","2217 ft²206 m²","603 ft²56 m²","","","Sloop Marconi 9/10","Deck stepped mast","No","2","Swept-back","Aluminum spars","213 ft²/T19.76 m²/T","409 ft²/T38.04 m²/T","1 inboard engine","53 HP","Diesel","Closing aft cockpit with opening system","3  / 4","6  / 10","3","Shoal draft","40’ 10”12.45 m","6834 lb3100 kg","","","58’ 10”17.91 m","18’ 1”5.53 m","56’ 5”17.19 m","18’ 2”5.55 m","","185","25 %","8.56 knots","55.5 gal210 liters","","95.1 gal360 liters","","","46’ 10”14.27 m","","","","","","68’ 1”20.75 m","","","","","","","","","","","","","549 ft²51 m²","","","","","","","","","","","","","","1615 ft²150 m²","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.boat-specs.com/"
"Bavaria Cruiser 46","Monohull","Offshore cruising sailboat","Bavaria Yachts","Farr Yacht Design","Germany","Hull and deck: GRP (glass reinforced polyester)","2014","Still in production","Keel : L-shaped keel (with bulb)","Twin helm wheels","Twin spade rudders","No","No","A","About 187 000 € (2020)","44’ 7”13.6 m","14’ 4”4.35 m","6’ 11”2.1 m","27778 lb12600 kg","1152 ft²107 m²","2217 ft²206 m²","603 ft²56 m²","","","Sloop Marconi 7/8","Deck stepped mast","No","2","Swept-back","Aluminum spars","213 ft²/T19.76 m²/T","409 ft²/T38.04 m²/T","1 inboard engine","55 HP","Diesel","Closing aft cockpit with opening system","3  / 4","6  / 8","3","Standard","41’ 10”12.74 m","7694 lb3490 kg","Cast iron","","58’ 10”17.91 m","18’ 1”5.53 m","56’ 5”17.19 m","18’ 2”5.55 m","","173","28 %","8.66 knots","55.5 gal210 liters","","95.1 gal360 liters","","","46’ 10”14.27 m","","","","","","68’ 1”20.75 m","1x19 strand wire","","","","","","","","","","","549 ft²51 m²","","","","","","","2015: European Yacht of the Year: Family Cruiser","","","","","","","","1615 ft²150 m²","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.boat-specs.com/"
"Bavaria Cruiser 46","Monohull","Offshore cruising sailboat","Bavaria Yachts","Farr Yacht Design","Germany","Hull and deck: GRP (glass reinforced polyester)","2014","Still in production","Keel : L-shaped keel (with bulb)","Twin helm wheels","Twin spade rudders","No","No","A","About 187 000 € (2020)","44’ 7”13.6 m","14’ 4”4.35 m","5’ 8”1.73 m","27778 lb12600 kg","1152 ft²107 m²","2217 ft²206 m²","603 ft²56 m²","","","Sloop Marconi 7/8","Deck stepped mast","No","2","Swept-back","Aluminum spars","213 ft²/T19.76 m²/T","409 ft²/T38.04 m²/T","1 inboard engine","55 HP","Diesel","Closing aft cockpit with opening system","3  / 4","6  / 8","3","Shoal draft","41’ 10”12.74 m","7694 lb3490 kg","Cast iron","","58’ 10”17.91 m","18’ 1”5.53 m","56’ 5”17.19 m","18’ 2”5.55 m","","173","28 %","8.66 knots","55.5 gal210 liters","","95.1 gal360 liters","","","46’ 10”14.27 m","","","","","","68’ 1”20.75 m","1x19 strand wire","","","","","","","","","","","549 ft²51 m²","","","","","","","2015: European Yacht of the Year: Family Cruiser","","","","","","","","1615 ft²150 m²","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.boat-specs.com/"
"Bavaria Cruiser 50","Monohull","Offshore cruising sailboat","Bavaria Yachts","Farr Yacht Design","Germany","Hull and deck: GRP (glass reinforced polyester)","2010","2015","Keel : L-shaped keel (with bulb)","Twin helm wheels","Twin spade rudders","No","No","A","N/A €","49’ 2”14.99 m","15’ 4”4.67 m","7’ 5”2.25 m","31085 lb14100 kg","1367 ft²127 m²","2723 ft²253 m²","721 ft²67 m²","","","Sloop Marconi 9/10","Deck stepped mast","No","2","Swept-back","Aluminum spars","234 ft²/T21.76 m²/T","467 ft²/T43.35 m²/T","1 inboard engine","75 HP","Diesel","Closing aft cockpit with opening system","3  / 5","6  / 12","","Standard","45’ 6”13.86 m","9259 lb4200 kg","","","64’19.5 m","20’6.1 m","60’ 10”18.52 m","20’ 2”6.17 m","","150","30 %","9.04 knots","79.3 gal300 liters","","147.9 gal560 liters","6’ 11”2.11 m","","51’ 1”15.57 m","","","","","","73’ 4”22.35 m","","","","","","","","","","","","","646 ft²60 m²","","","","","","","3  / 4","","","","","","","2002 ft²186 m²","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.boat-specs.com/"
"Bavaria Cruiser 50","Monohull","Offshore cruising sailboat","Bavaria Yachts","Farr Yacht Design","Germany","Hull and deck: GRP (glass reinforced polyester)","2010","2015","Keel : L-shaped keel (with bulb)","Twin helm wheels","Twin spade rudders","No","No","A","N/A €","49’ 2”14.99 m","15’ 4”4.67 m","6’ 1”1.85 m","31085 lb14100 kg","1367 ft²127 m²","2723 ft²253 m²","721 ft²67 m²","","","Sloop Marconi 9/10","Deck stepped mast","No","2","Swept-back","Aluminum spars","234 ft²/T21.76 m²/T","467 ft²/T43.35 m²/T","1 inboard engine","75 HP","Diesel","Closing aft cockpit with opening system","3  / 5","6  / 12","","Shoal draft","45’ 6”13.86 m","9259 lb4200 kg","","","64’19.5 m","20’6.1 m","60’ 10”18.52 m","20’ 2”6.17 m","","150","30 %","9.04 knots","79.3 gal300 liters","","147.9 gal560 liters","6’ 11”2.11 m","","51’ 1”15.57 m","","","","","","73’ 4”22.35 m","","","","","","","","","","","","","646 ft²60 m²","","","","","","","3  / 4","","","","","","","2002 ft²186 m²","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.boat-specs.com/"
"Bavaria Cruiser 51","Monohull","Offshore cruising sailboat","Bavaria Yachts","Farr Yacht Design","Germany","Hull and deck: GRP (glass reinforced polyester)","2016","Still in production","Keel : L-shaped keel (with bulb)","Twin helm wheels","Twin spade rudders","No","No","A","About 242 000 € (2020)","46’ 4”14.12 m","15’ 4”4.67 m","7’ 5”2.25 m","31085 lb14100 kg","1367 ft²127 m²","2723 ft²253 m²","721 ft²67 m²","","","Sloop Marconi masthead","Deck stepped mast","No","2","Swept-back","Aluminum spars","234 ft²/T21.76 m²/T","467 ft²/T43.35 m²/T","1 inboard engine","75 HP","Diesel","Closing aft cockpit with opening system","3  / 5","6  / 10","3","Standard","45’ 6”13.86 m","10141 lb4600 kg","Cast iron","","64’19.5 m","20’6.1 m","60’ 8”18.49 m","20’ 2”6.17 m","","150","33 %","9.04 knots","74 gal280 liters","","147.9 gal560 liters","6’ 7”2 m","","49’ 2”14.99 m","","","","","","","1x19 strand wire","","","","","","","","","","","646 ft²60 m²","","","","","","","","","","","","","","","2002 ft²186 m²","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.boat-specs.com/"
"Bavaria Cruiser 51","Monohull","Offshore cruising sailboat","Bavaria Yachts","Farr Yacht Design","Germany","Hull and deck: GRP (glass reinforced polyester)","2016","Still in production","Keel : L-shaped keel (with bulb)","Twin helm wheels","Twin spade rudders","No","No","A","About 242 000 € (2020)","46’ 4”14.12 m","15’ 4”4.67 m","6’ 1”1.85 m","31085 lb14100 kg","1367 ft²127 m²","2723 ft²253 m²","721 ft²67 m²","","","Sloop Marconi masthead","Deck stepped mast","No","2","Swept-back","Aluminum spars","234 ft²/T21.76 m²/T","467 ft²/T43.35 m²/T","1 inboard engine","75 HP","Diesel","Closing aft cockpit with opening system","3  / 5","6  / 10","3","Shoal draft","45’ 6”13.86 m","10141 lb4600 kg","Cast iron","","64’19.5 m","20’6.1 m","60’ 8”18.49 m","20’ 2”6.17 m","","150","33 %","9.04 knots","74 gal280 liters","","147.9 gal560 liters","6’ 7”2 m","","49’ 2”14.99 m","","","","","","","1x19 strand wire","","","","","","","","","","","646 ft²60 m²","","","","","","","","","","","","","","","2002 ft²186 m²","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.boat-specs.com/"
"Bavaria Cruiser 55","Monohull","Offshore cruising sailboat","Bavaria Yachts","Farr Yacht Design","Germany","Hull and deck: GRP (glass reinforced polyester)","2010","2014","Keel : L-shaped keel (with bulb)","Twin helm wheels","Twin spade rudders","No","No","A","N/A €","53’16.16 m","16’4.87 m","7’ 8”2.35 m","37920 lb17200 kg","1561 ft²145 m²","2960 ft²275 m²","829 ft²77 m²","","","Sloop Marconi 9/10","Deck stepped mast","No","2","Swept-back","Aluminum spars","234 ft²/T21.76 m²/T","444 ft²/T41.27 m²/T","1 inboard engine","","Diesel","Closing aft cockpit with opening system","3  / 5","6  / 10","","Standard","49’ 1”14.96 m","12125 lb5500 kg","","","65’ 4”19.9 m","21’ 5”6.51 m","63’ 2”19.25 m","22’ 2”6.76 m","","145","32 %","9.39 knots","79.3 gal300 liters","","184.9 gal700 liters","6’ 10”2.06 m","","55’16.75 m","","","","","","","","75 HP / 110 HP","","","","","","","","","","","732 ft²68 m²","","","","","","","2  / 4","","","","","","","2131 ft²198 m²","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.boat-specs.com/"
"Bavaria Cruiser 55","Monohull","Offshore cruising sailboat","Bavaria Yachts","Farr Yacht Design","Germany","Hull and deck: GRP (glass reinforced polyester)","2010","2014","Keel : L-shaped keel (with bulb)","Twin helm wheels","Twin spade rudders","No","No","A","N/A €","53’16.16 m","16’4.87 m","6’ 2”1.9 m","37920 lb17200 kg","1561 ft²145 m²","2960 ft²275 m²","829 ft²77 m²","","","Sloop Marconi 9/10","Deck stepped mast","No","2","Swept-back","Aluminum spars","234 ft²/T21.76 m²/T","444 ft²/T41.27 m²/T","1 inboard engine","","Diesel","Closing aft cockpit with opening system","3  / 5","6  / 10","","Shoal draft","49’ 1”14.96 m","12125 lb5500 kg","","","65’ 4”19.9 m","21’ 5”6.51 m","63’ 2”19.25 m","22’ 2”6.76 m","","145","32 %","9.39 knots","79.3 gal300 liters","","184.9 gal700 liters","6’ 10”2.06 m","","55’16.75 m","","","","","","","","75 HP / 110 HP","","","","","","","","","","","732 ft²68 m²","","","","","","","2  / 4","","","","","","","2131 ft²198 m²","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.boat-specs.com/"
"Bavaria Cruiser 56","Monohull","Offshore cruising sailboat","Bavaria Yachts","Farr Yacht Design","Germany","Hull and deck: GRP (glass reinforced polyester)","2014","Discontinued","Keel : L-shaped keel (with bulb)","Twin helm wheels","Twin spade rudders","No","No","A","N/A €","53’16.16 m","15’ 7”4.76 m","8’ 1”2.46 m","40997 lb18596 kg","1561 ft²145 m²","2960 ft²275 m²","829 ft²77 m²","","","Sloop Marconi 9/10","Deck stepped mast","No","2","Swept-back","Aluminum spars","222 ft²/T20.66 m²/T","422 ft²/T39.18 m²/T","1 inboard engine","110 HP","Diesel","Closing aft cockpit with opening system","3  / 6","6  / 11","","Standard","51’ 4”15.63 m","12125 lb5500 kg","Cast iron","","65’ 2”19.88 m","21’ 5”6.51 m","63’ 2”19.25 m","22’ 2”6.76 m","","138","30 %","9.60 knots","74 gal280 liters","","182.3 gal690 liters","6’ 10”2.06 m","","55’16.75 m","","39.6 gal150 liters","","","","76’ 4”23.25 m","1x19 strand wire","","","","","","","","","","","732 ft²68 m²","","","","","","","","2  / 5","","","","","","","2131 ft²198 m²","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.boat-specs.com/"
"Bavaria Cruiser 56","Monohull","Offshore cruising sailboat","Bavaria Yachts","Farr Yacht Design","Germany","Hull and deck: GRP (glass reinforced polyester)","2014","Discontinued","Keel : L-shaped keel (with bulb)","Twin helm wheels","Twin spade rudders","No","No","A","N/A €","53’16.16 m","15’ 7”4.76 m","6’ 7”2.02 m","40997 lb18596 kg","1561 ft²145 m²","2960 ft²275 m²","829 ft²77 m²","","","Sloop Marconi 9/10","Deck stepped mast","No","2","Swept-back","Aluminum spars","222 ft²/T20.66 m²/T","422 ft²/T39.18 m²/T","1 inboard engine","110 HP","Diesel","Closing aft cockpit with opening system","3  / 6","6  / 11","","Shoal draft","51’ 4”15.63 m","12125 lb5500 kg","Cast iron","","65’ 2”19.88 m","21’ 5”6.51 m","63’ 2”19.25 m","22’ 2”6.76 m","","138","30 %","9.60 knots","74 gal280 liters","","182.3 gal690 liters","6’ 10”2.06 m","","55’16.75 m","","39.6 gal150 liters","","","","76’ 4”23.25 m","1x19 strand wire","","","","","","","","","","","732 ft²68 m²","","","","","","","","2  / 5","","","","","","","2131 ft²198 m²","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.boat-specs.com/"
"Bénéteau 25","Monohull","Coastal one design sailboat","Bénéteau & McDell Marine","Farr Yacht Design","France","GRP (glass reinforced polyester):  - Hull: Single skin  fiberglass polyester  - Deck: Sandwich balsa fiberglass polyester","1992","Discontinued","Keel : L-shaped keel (with bulb)","Single tiller","Single spade rudder","No","Yes","C","N/A €","24’ 6”7.48 m","8’ 7”2.62 m","5’ 2”1.58 m","2601 lb1180 kg","349 ft²32.4 m²","775 ft²72 m²","215 ft²20 m²","133 ft²12.4 m²","","Sloop Marconi 7/8","Keel stepped mast","No","2","Swept-back","Aluminum spars","312 ft²/T29.02 m²/T","694 ft²/T64.48 m²/T","Outboard engine","7 HP","","Open aft cockpit","","","","","22’ 1”6.74 m","1118 lb507 kg","Cast iron","560 ft²52 m²","29’ 11”9.1 m","8’ 6”2.6 m","31’ 6”9.6 m","12’3.65 m","22.0","109","43 %","6.30 knots","","2","","","","24’ 7”7.51 m","","","","","","39’ 11”12.15 m","1x19 strand wire discontinuous","","","","","","","","","ISAF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.boat-specs.com/"
"Bénéteau 31","Monohull","Cruising sailboat","Bénéteau","Finot Conq Architectes","France","GRP (glass reinforced polyester):  - Hull: Single skin  fiberglass polyester  - Deck: Sandwich balsa fiberglass polyester","2007","2019","Keel : fin with bulb","Single helm wheel","Single spade rudder","No","No","B","About 78 000 € (2017)","30’ 6”9.3 m","11’ 1”3.39 m","5’ 11”1.8 m","10692 lb4850 kg","530 ft²49.2 m²","1287 ft²119.6 m²","265 ft²24.6 m²","265 ft²24.6 m²","643 ft²59.7 m²","Sloop Marconi fractional","Deck stepped mast","No","1","Swept-back","Aluminum spars","185 ft²/T17.17 m²/T","449 ft²/T41.74 m²/T","1 inboard engine","21 HP","Diesel","Closed aft cockpit","","4  / 6","1","Deep draft","29’ 2”8.89 m","2191 lb994 kg","Cast iron","1023 ft²95 m²","38’ 8”11.8 m","12’3.67 m","35’ 10”10.9 m","12’ 10”3.9 m","","195","20 %","7.24 knots","34.3 gal130 liters","","34.3 gal130 liters","6’1.84 m","","31’ 8”9.66 m","2","26.4 gal100 liters","6’1.84 m","7’ 4”2.24 m","","46’ 7”14.2 m","1x19 strand wire continuous","","5’ 10”1.77 m","","","","","","21.1 gal80 liters","","","","","","","","","","","","6.6 gal25 liters","","","","","","","","","","","","","","","5’ 6”1.69 m / 5’ 6”1.69 m","","","","","","","","","","","","","","","","","https://www.boat-specs.com/"
"Bénéteau 31","Monohull","Cruising sailboat","Bénéteau","Finot Conq Architectes","France","GRP (glass reinforced polyester):  - Hull: Single skin  fiberglass polyester  - Deck: Sandwich balsa fiberglass polyester","2007","Still in production","Keel : L-shaped keel (with bulb)","Single helm wheel","Single spade rudder","No","No","B","About 78 000 € (2017)","30’ 6”9.3 m","11’ 1”3.39 m","4’ 4”1.3 m","10913 lb4950 kg","530 ft²49.2 m²","1287 ft²119.6 m²","265 ft²24.6 m²","265 ft²24.6 m²","643 ft²59.7 m²","Sloop Marconi fractional","Deck stepped mast","No","1","Swept-back","Aluminum spars","182 ft²/T16.94 m²/T","443 ft²/T41.18 m²/T","1 inboard engine","21 HP","Diesel","Closed aft cockpit","","4  / 6","1","Shoal draft","29’ 2”8.89 m","2405 lb1091 kg","Cast iron","1023 ft²95 m²","38’ 8”11.8 m","12’3.67 m","35’ 10”10.9 m","12’ 10”3.9 m","","200","22 %","7.24 knots","34.3 gal130 liters","","34.3 gal130 liters","6’1.84 m","","31’ 8”9.66 m","2","26.4 gal100 liters","6’1.84 m","7’ 4”2.24 m","","46’ 7”14.2 m","1x19 strand wire continuous","","5’ 10”1.77 m","","","","","","21.1 gal80 liters","","","","","","","","","","","","6.6 gal25 liters","","","","","","","","","","","","","","","5’ 6”1.69 m / 5’ 6”1.69 m","","","","","","","","","","","","","","","","","https://www.boat-specs.com/"
"Bénéteau 31","Monohull","Cruising sailboat","Bénéteau","Finot Conq Architectes","France","GRP (glass reinforced polyester):  - Hull: Single skin  fiberglass polyester  - Deck: Sandwich balsa fiberglass polyester","2007","Still in production","Centerboard : pivoting centerboard in the keel","Single helm wheel","Twin spade rudders","No","No","B","About 78 000 € (2017)","30’ 6”9.3 m","11’ 1”3.39 m","7’ 1”2.17 m","10692 lb4850 kg","530 ft²49.2 m²","1287 ft²119.6 m²","265 ft²24.6 m²","265 ft²24.6 m²","643 ft²59.7 m²","Sloop Marconi fractional","Deck stepped mast","No","1","Swept-back","Aluminum spars","185 ft²/T17.17 m²/T","449 ft²/T41.74 m²/T","1 inboard engine","21 HP","Diesel","Closed aft cockpit","","4  / 6","1","Keel and centerboard","29’ 2”8.89 m","2191 lb994 kg","Cast iron exterior ballast with steel centerboard","1023 ft²95 m²","38’ 8”11.8 m","12’3.67 m","35’ 10”10.9 m","12’ 10”3.9 m","","195","20 %","7.24 knots","34.3 gal130 liters","","34.3 gal130 liters","6’1.84 m","3’ 1”0.95 m","31’ 8”9.66 m","2","26.4 gal100 liters","6’1.84 m","7’ 4”2.24 m","","46’ 7”14.2 m","1x19 strand wire continuous","","5’ 10”1.77 m","","","","","","21.1 gal80 liters","","","","","","","","","","","","6.6 gal25 liters","","","","","","","","","","","","","","","5’ 6”1.69 m / 5’ 6”1.69 m","","","","","","","","","","","","","","","","","https://www.boat-specs.com/"
